lemma,pos,frequency_rank,cefr_level,notes
пахнуть,v,2509,B1,
свадьба,n,2510,b1,
туман,n,2511,B1,
качественный,adj,2512,B1,
молчание,n,2513,B1,
особенный,adj,2514,B1,
конституция,n,2515,B1,
подавать,v,2516,B1,
беременность,n,2517,B1,
хранить,v,2518,B1,
игрушка,n,2519,B1,
сезон,n,2520,B1,
физика,n,2521,B1,
жест,n,2522,B1,
кто-нибудь,pron,2523,B1,
активность,n,2524,B1,
горный,adj,2525,B1,
одинокий,adj,2526,B1,
замечание,n,2527,B1,
карьера,n,2528,B1,
политик,n,2529,B1,
вооруженный,adj,2530,B1,
записка,n,2531,B1,
справедливость,N,2532,B1,
дача,n,2533,B1,
гарантия,n,2534,B1,
партийный,adj,2535,B1,
скорый,adj,2536,b1,
горький,adj,2537,b1,
воевать,v,2538,B1,
подъезд,n,2539,B1,
скромный,adj,2540,B1,
пятно,n,2541,B1,
разнообразный,adj,2542,B1,
факультет,n,2543,B1,
куст,n,2544,B1,
стихотворение,n,2545,B1,
интересоваться,v,2546,B1,
удивляться,v,2547,B1,
ответственный,adj,2548,B1,
важнейший,adj,2549,B1,
палатка,n,2550,B1,
салон,n,2551,B1,
победитель,n,2552,B1,
жаловаться,v,2553,B1,
вечерний,adj,2554,B1,
контекст,n,2555,B1,
когда-нибудь,adv,2556,B1,
отрицательный,adj,2557,b1,
жалеть,v,2558,B1,
искусственный,adj,2559,b1,
христианский,adj,2560,b1,
лесной,adj,2561,B1,
почитать,v,2562,B1,
парламент,n,2563,B1,
эмоциональный,adj,2564,B1,
городок,n,2565,B1,
бар,n,2566,B1,
неизвестно,adv,2567,B1,
пенсия,n,2568,B1,
рисовать,v,2569,B1,
здорово,excl,2570,B1,
волноваться,v,2571,B1,
пьеса,n,2572,B1,
десятилетие,n,2573,B1,
блестящий,adj,2574,B1,
известие,n,2575,B1,
печальный,adj,2576,B1,
улучшение,n,2577,B1,
зарабатывать,v,2578,B1,
королева,n,2579,B1,
заинтересовать,v,2580,B1,
старуха,n,2581,b1,
вначале,adv,2582,B1,
транспортный,adj,2583,B1,
сокращение,n,2584,b1,
маска,n,2585,B1,
жалоба,n,2586,B1,
применяться,v,2587,B1,
двойной,adj,2588,B1,
математика,n,2589,B1,
потребоваться,v,2590,B1,
студия,n,2591,B1,
мотор,n,2592,B1,
экологический,adj,2593,B1,
повесть,n,2594,B1,
невеста,n,2595,b1,
вклад,n,2596,B1,
подходящий,adj,2597,B1,
катастрофа,n,2598,B1,
справедливый,adj,2599,B1,
чудесный,adj,2600,B1,
спускаться,v,2601,B1,
во-первых,adv,2602,B1,
медведь,n,2603,B1,
прогноз,n,2604,B1,
опрос,n,2605,B1,
устанавливать,v,2606,B1,
свидание,n,2607,B1,
платформа,n,2608,B1,
обида,n,2609,B1,
сочетание,n,2610,B1,
заканчиваться,v,2611,b1,
профессионал,n,2612,B1,
захотеться,v,2613,B1,
консультант,n,2614,B1,
независимость,n,2615,B1,
законный,adj,2616,B1,
коллекция,n,2617,B1,
обыкновенный,adj,2618,B1,
экземпляр,n,2619,B1,
цифровой,adj,2620,b1,
тесный,adj,2621,B1,
преступник,n,2622,B1,
избирательный,adj,2623,B1,
волновать,v,2624,B1,
рана,n,2625,b1,
серебряный,adj,2626,B1,
заказчик,n,2627,B1,
мышь,n,2628,B1,
веревка,n,2629,B1,
аккуратно,adv,2630,B1,
закрытый,adj,2631,B1,
беспокоиться,v,2632,B1,
математический,adj,2633,B1,
нарушать,v,2634,B1,
доставать,v,2635,b1,
автоматически,adv,2636,B1,
рок,n,2637,B1,
прогулка,n,2638,B1,
прощать,v,2639,b1,
ужасно,adv,2640,B1,
королевский,adj,2641,B1,
тренировка,n,2642,B1,
молодость,n,2643,B1,
мягко,adv,2644,B1,
алкоголь,n,2645,B1,
просмотр,n,2646,B1,
скандал,n,2647,B1,
энергетический,adj,2648,B1,
рыжий,adj,2649,B1,
учеба,n,2650,B1,
четверть,n,2651,B1,
оформление,n,2652,B1,
соглашаться,v,2653,b1,
талантливый,adj,2654,B1,
монитор,n,2655,B1,
регулярно,adv,2656,B1,
с тех пор,mwe,2657,B1,
матч,n,2658,B1,
длиться,v,2659,B1,
флаг,n,2660,B1,
приключение,n,2661,B1,
сервис,n,2662,B1,
успевать,v,2663,B1,
мудрый,adj,2664,B1,
бледный,adj,2665,B1,
вор,n,2666,B1,
дорожка,n,2667,B1,
неприятность,n,2668,B1,
пляж,n,2669,B1,
благодарный,adj,2670,b1,
переставать,v,2671,B1,
игровой,adj,2672,B1,
спасать,v,2673,B1,
гордиться,v,2674,B1,
ритм,n,2675,b1,
подвиг,n,2676,B1,
голосование,n,2677,B1,
христианин,n,2678,b1,
стыдно,adv,2679,B1,
радостный,adj,2680,B1,
трасса,n,2681,B1,
наибольший,adj,2682,b1,
сравнивать,v,2683,B1,
бытовой,adj,2684,B1,
тренер,n,2685,B1,
подчеркивать,v,2686,B1,
употребление,n,2687,B1,
мэр,n,2688,B1,
учащийся,n,2689,B1,
посадка,n,2690,B1,
ровный,adj,2691,B1,
добавлять,v,2692,B1,
шоу,n,2693,B1,
храниться,v,2694,B1,
повесить,v,2695,B1,
специальность,n,2696,B1,
трогать,v,2697,B1,
стих,n,2698,B1,
террорист,n,2699,B1,
соблюдать,v,2700,B1,
младенец,n,2701,B1,
употреблять,v,2702,B1,
дыра,n,2703,B1,
уверенно,adv,2704,B1,
торговать,v,2705,B1,
занятый,adj,2706,B1,
рукав,n,2707,B1,
симпатичный,adj,2708,B1,
предупреждать,v,2709,B1,
палка,n,2710,B1,
бровь,n,2711,B1,
бесполезный,adj,2712,B1,
мастерская,n,2713,B1,
приезд,n,2714,B1,
подводный,adj,2715,B1,
треть,n,2716,B1,
возражать,v,2717,B1,
беспокоить,v,2718,B1,
духи,n,2719,B1,
консультация,n,2720,B1,
приветствовать,v,2721,b1,
платок,n,2722,b1,
программист,n,2723,B1,
охранник,n,2724,B1,
чистота,n,2725,B1,
бумажный,adj,2726,B1,
происшествие,n,2727,B1,
шоссе,n,2728,B1,
яма,n,2729,B1,
ножка,n,2730,B1,
соблюдение,n,2731,B1,
рождаться,v,2732,B1,
громадный,adj,2733,B1,
заметка,n,2734,B1,
финал,n,2735,B1,
избиратель,n,2736,B1,
среднее,n,2737,B1,
голосовать,v,2738,B1,
жених,n,2739,B1,
автоматический,adj,2740,B1,
вирус,n,2741,B1,
охранять,v,2742,B1,
популярность,n,2743,B1,
диплом,n,2744,B1,
юрист,n,2745,B1,
борода,n,2746,B1,
подробный,adj,2747,B1,
терпение,n,2748,b1,
усталость,n,2749,B1,
выделять,v,2750,B1,
дежурный,adj,2751,B1,
частица,n,2752,B1,
локоть,n,2753,B1,
испортить,v,2754,B1,
тур,n,2755,B1,
близость,n,2756,B1,
туча,n,2757,B1,
гитара,n,2758,b1,
позитивный,adj,2759,B1,
недвижимость,n,2760,B1,
доставка,n,2761,B1,
отъезд,n,2762,b1,
театральный,adj,2763,B1,
развлечение,n,2764,B1,
папка,n,2765,B1,
доставлять,v,2766,B1,
сорт,N,2767,B1,
звездный,adj,2768,B1,
грузовик,n,2769,B1,
обсуждаться,v,2770,B1,
дорожный,adj,2771,B1,
классный,adj,2772,B1,
ведро,n,2773,b1,
молния,n,2774,b1,
стеклянный,adj,2775,B1,
чеченский,adj,2776,B1,
вносить,v,2777,B1,
плащ,n,2778,b1,
христианство,n,2779,b1,
платеж,n,2780,B1,
смелый,adj,2781,B1,
седой,adj,2782,B1,
поэтический,adj,2783,B1,
величайший,adj,2784,b1,
приблизительно,adv,2785,B1,
торжественный,adj,2786,B1,
блеск,n,2787,B1,
развод,n,2788,b1,
безопасный,adj,2789,B1,
ледяной,adj,2790,B1,
предупреждение,n,2791,B1,
рецепт,n,2792,B1,
смесь,n,2793,B1,
кредитный,adj,2794,B1,
мелодия,n,2795,B1,
студенческий,adj,2796,B1,
внешность,n,2797,B1,
повышать,v,2798,b1,
стоянка,n,2799,B1,
дневной,adj,2800,B1,
временный,adj,2801,B1,
где-нибудь,adv,2802,B1,
анализировать,v,2803,B1,
давить,v,2804,B1,
незаконный,adj,2805,B1,
снежный,adj,2806,B1,
обман,n,2807,B1,
провод,n,2808,B1,
баня,n,2809,B1,
тупой,adj,2810,B1,
переносить,v,2811,B1,
с самого начала,mwe,2812,B1,
бокал,n,2813,B1,
драться,v,2814,B1,
прохожий,n,2815,B1,
отвернуться,v,2816,B1,
свинья,n,2817,B1,
желающий,n,2818,B1,
скорее,adv,2819,B1,
латинский,adj,2820,B1,
поменять,v,2821,B1,
хрен,n,2822,b1,
климат,n,2823,B1,
пленка,n,2824,B1,
старость,n,2825,B1,
змея,n,2826,b1,
кожаный,adj,2827,B1,
молодежный,adj,2828,B1,
травма,n,2829,B1,
скучный,adj,2830,B1,
тетка,n,2831,B1,
дура,n,2832,B1,
бедро,n,2833,B1,
слон,n,2834,B1,
вертолет,n,2835,B1,
печатать,v,2836,B1,
диагноз,n,2837,B1,
вытекать,v,2838,b1,
иллюстрация,n,2839,B1,
частый,adj,2840,B1,
исключать,v,2841,B1,
натуральный,adj,2842,B1,
влюбленный,adj,2843,B1,
листок,n,2844,B1,
ноготь,n,2845,B1,
диета,n,2846,B1,
ремень,n,2847,B1,
наилучший,adj,2848,B1,
ус,n,2849,B1,
заяц,n,2850,B1,
ругаться,v,2851,B1,
в среднем,mwe,2852,B1,
прятать,v,2853,B1,
лужа,n,2854,B1,
светить,v,2855,B1,
объявлять,v,2856,B1,
тесно,adv,2857,B1,
комплект,n,2858,B1,
умственный,adj,2859,B1,
светиться,v,2860,B1,
пожелание,n,2861,B1,
пенсионер,n,2862,B1,
стук,n,2863,B1,
рожать,v,2864,B1,
слабо,adv,2865,b1,
программирование,n,2866,b1,
сеанс,n,2867,B1,
столичный,adj,2868,B1,
скамейка,n,2869,B1,
старт,n,2870,B1,
кататься,v,2871,b1,
затылок,n,2872,B1,
водный,adj,2873,B1,
закат,n,2874,b1,
написание,n,2875,B1,
торжество,n,2876,B1,
переписка,n,2877,B1,
возвращать,v,2878,B1,
опера,n,2879,B1,
самоубийство,n,2880,B1,
прибегать,v,2881,B1,
беременный,adj,2882,B1,
пожаловаться,v,2883,B1,
аромат,n,2884,B1,
подбородок,n,2885,B1,
разочарование,n,2886,B1,
гражданство,n,2887,B1,
прочный,adj,2888,B1,
ура,excl,2889,B1,
товарный,adj,2890,B1,
провожать,v,2891,B1,
регулярный,adj,2892,B1,
украшение,n,2893,B1,
уменьшение,n,2894,B1,
сериал,n,2895,B1,
сновидение,n,2896,B1,
проживание,n,2897,b1,
одевать,v,2898,b1,
симптом,n,2899,B1,
поворачиваться,v,2900,B1,
увлечение,n,2901,B1,
терроризм,n,2902,B1,
комедия,n,2903,B1,
выполняться,v,2904,B1,
героиня,n,2905,B1,
кончать,v,2906,b1,
изменяться,v,2907,B1,
махать,v,2908,B1,
звуковой,adj,2909,B1,
прелесть,n,2910,B1,
ислам,n prop,2911,b1,
долгосрочный,adj,2912,B1,
родные,adj,2913,B1,
мусульманин,n,2914,b1,
порция,n,2915,B1,
осторожный,adj,2916,B1,
вечеринка,n,2917,B1,
плакат,n,2918,B1,
быть может,mwe,2919,B1,
блестеть,v,2920,B1,
бык,n,2921,b1,
удобство,n,2922,B1,
кивать,v,2923,B1,
приготовление,n,2924,B1,
повторение,n,2925,b1,
устанавливаться,v,2926,B1,
нетерпение,n,2927,b1,
экономия,n,2928,B1,
завидовать,v,2929,B1,
козел,n,2930,b1,
кисть,n,2931,B1,
континент,n,2932,B1,
уличный,adj,2933,B1,
бедность,n,2934,B1,
украшать,v,2935,B1,
микрофон,n,2936,B1,
пластиковый,adj,2937,B1,
корзина,n,2938,B1,
инструктор,n,2939,b1,
стресс,n,2940,B1,
изложение,n,2941,B1,
клавиша,n,2942,B1,
галстук,n,2943,B1,
обманывать,v,2944,B1,
обижаться,v,2945,B1,
возражение,n,2946,b1,
шагать,v,2947,B1,
химия,n,2948,B1,
тысячелетие,n,2949,B1,
входной,adj,2950,B1,
заменять,v,2951,B1,
оплачивать,v,2952,B1,
спинка,n,2953,B1,
географический,adj,2954,B1,
долгое время,mwe,2955,B1,
аллах,n prop,2956,b1,
колледж,n,2957,B1,
родительский,adj,2958,B1,
дружеский,adj,2959,B1,
нисколько,adv,2960,B1,
гром,n,2961,B1,
грамотный,adj,2962,B1,
приближение,n,2963,B1,
необыкновенный,adj,2964,B1,
собачий,adj,2965,B1,
съездить,v,2966,B1,
успокаивать,v,2967,B1,
придумывать,v,2968,B1,
уютный,adj,2969,B1,
соотечественник,n,2970,B1,
заложник,n,2971,B1,
двигать,v,2972,B1,
выдача,n,2973,b1,
избранный,adj,2974,B1,
композитор,n,2975,B1,
интимный,adj,2976,B1,
отрывок,n,2977,B1,
отставать,v,2978,B1,
колонка,n,2979,B1,
печка,n,2980,b1,
глупо,adv,2981,B1,
тигр,n,2982,B1,
фотограф,n,2983,B1,
обходить,v,2984,B1,
юбилей,n,2985,B1,
справочник,n,2986,b1,
витрина,n,2987,B1,
обидно,adv,2988,B1,
сердиться,v,2989,B1,
шуметь,v,2990,B1,
назначать,v,2991,B1,
энергичный,adj,2992,B1,
клавиатура,n,2993,B1,
удивлять,v,2994,B1,
обложка,n,2995,B1,
меньшинство,n,2996,B1,
останавливать,v,2997,b1,
ссора,n,2998,b1,
платный,adj,2999,b1,
любоваться,v,3000,B1,
тряпка,n,3001,B1,
запланировать,v,3002,B1,
выигрывать,v,3003,B1,
треугольник,n,3004,B1,
детектив,n,3005,B1,
напугать,v,3006,B1,
презерватив,n,3007,B1,
чеченец,n,3008,B1,
добровольный,adj,3009,B1,
поверх,adpos,3010,B1,
наименование,n,3011,B1,
побеждать,v,3012,B1,
увлекаться,v,3013,B1,
исламский,adj,3014,b1,
теряться,v,3015,b1,
смелость,n,3016,B1,
тройка,n,3017,B1,
лить,v,3018,B1,
дизайнер,n,3019,B1,
дырка,n,3020,B1,
туристический,adj,3021,b1,
кпрф,n,3022,B1,
электроэнергия,n,3023,B1,
портить,v,3024,B1,
договариваться,v,3025,B1,
олимпийский,adj,3026,B1,
сочувствие,n,3027,B1,
шумный,adj,3028,B1,
уговаривать,v,3029,B1,
ревность,n,3030,b1,
прилавок,n,3031,B1,
доброта,n,3032,b1,
закрытие,n,3033,b1,
кипеть,v,3034,B1,
докладывать,v,3035,B1,
удостоверение,n,3036,B1,
веко,n,3037,B1,
классика,n,3038,B1,
полюс,n,3039,B1,
футбольный,adj,3040,B1,
жидкий,adj,3041,B1,
насекомое,n,3042,B1,
разноцветный,adj,3043,B1,
будда,n prop,3044,b1,
октябрьский,adj,3045,B1,
сказочный,adj,3046,B1,
проработать,v,3047,b1,
тормоз,n,3048,B1,
энциклопедия,n,3049,B1,
увезти,v,3050,B1,
разрешаться,v,3051,B1,
принтер,n,3052,B1,
ухаживать,v,3053,B1,
белок,n,3054,B1,
табак,n,3055,b1,
усиливать,v,3056,B1,
увести,v,3057,b1,
усиливаться,v,3058,B1,
отметка,n,3059,b1,
нажимать,v,3060,B1,
завтрашний,adj,3061,B1,
мусульманский,adj,3062,b1,
известность,n,3063,B1,
телеканал,n,3064,B1,
багаж,n,3065,B1,
толщина,n,3066,B1,
трижды,adv,3067,B1,
жевать,v,3068,B1,
рекорд,n,3069,B1,
лысый,adj,3070,B1,
хакер,n,3071,B1,
запасной,adj,3072,B1,
география,n,3073,B1,
сборная,n,3074,B1,
заинтересоваться,v,3075,B1,
теракт,n,3076,B1,
прохладный,adj,3077,B1,
переезд,n,3078,B1,
хвалить,v,3079,B1,
биология,n,3080,B1,
документальный,adj,3081,B1,
подсказывать,v,3082,B1,
комфорт,n,3083,B1,
факс,n,3084,B1,
перенос,n,3085,B1,
складывать,v,3086,B1,
бокс,n,3087,b1,
ненадолго,adv,3088,B1,
гимн,n,3089,B1,
патриот,n,3090,B1,
присниться,v,3091,B1,
уборка,n,3092,B1,
шить,v,3093,B1,
десятка,n,3094,B1,
промолчать,v,3095,B1,
шелковый,adj,3096,B1,
наружный,adj,3097,B1,
добираться,v,3098,B1,
тормозить,v,3099,B1,
аккуратный,adj,3100,B1,
проигрывать,v,3101,B1,
целоваться,V,3102,b1,
скульптура,n,3103,B1,
отказывать,v,3104,B1,
скамья,n,3105,B1,
читаться,v,3106,b1,
террористический,adj,3107,B1,
пуговица,n,3108,b1,
ленивый,adj,3109,B1,
оптимизм,n,3110,B1,
укол,n,3111,B1,
вешать,v,3112,B1,
раздавать,v,3113,B1,
лыжа,n,3114,B1,
пополам,adv,3115,B1,
правильность,n,3116,B1,
обучаться,v,3117,B1,
антенна,n,3118,B1,
венера,n prop,3119,B1,
племянник,n,3120,b1,
взлет,n,3121,B1,
приветствие,n,3122,b1,
воспитатель,n,3123,B1,
пропуск,n,3124,B1,
гид,n,3125,B1,
указатель,n,3126,b1,
неудобно,adv,3127,B1,
классик,n,3128,B1,
контейнер,n,3129,B1,
теща,n,3130,b1,
алкогольный,adj,3131,B1,
догонять,v,3132,B1,
праздновать,v,3133,B1,
испуг,n,3134,B1,
прическа,n,3135,B1,
выпадать,v,3136,b1,
комар,n,3137,B1,
арена,n,3138,B1,
каблук,n,3139,b1,
казино,n,3140,B1,
догадка,n,3141,B1,
экономить,v,3142,B1,
няня,n,3143,B1,
умеренный,adj,3144,B1,
несправедливый,adj,3145,B1,
суша,n,3146,B1,
комплимент,n,3147,B1,
град,n,3148,B1,
разбивать,v,3149,B1,
весы,n,3150,B1,
ректор,n,3151,B1,
модем,n,3152,B1,
немедленный,adj,3153,B1,
тесто,n,3154,b1,
поперек,adpos,3155,B1,
пятерка,n,3156,B1,
курение,n,3157,B1,
корона,n,3158,B1,
коза,n,3159,b1,
аккумулятор,n,3160,B1,
почерк,n,3161,B1,
перелом,n,3162,B1,
отрывать,v,3163,B1,
унитаз,n,3164,B1,
ресница,n,3165,B1,
несовершеннолетний,n,3166,B1,
неважный,adv,3167,b1,
пятка,n,3168,B1,
чат,n,3169,B1,
самостоятельность,n,3170,B1,
развитой,adj,3171,B1,
провайдер,n,3172,B1,
ненормальный,adj,3173,B1,
цент,n,3174,B1,
патриотизм,n,3175,B1,
дворянин,n,3176,B1,
прекращать,v,3177,B1,
загрязнение,n,3178,B1,
зять,n,3179,b1,
непонимание,n,3180,B1,
пк,n,3181,B1,
греметь,v,3182,B1,
празднование,n,3183,B1,
сухо,adv,3184,B1,
повышаться,v,3185,B1,
прекращаться,v,3186,B1,
безработный,n,3187,b1,
добавка,n,3188,B1,
ваза,n,3189,B1,
жадный,adj,3190,B1,
профессионализм,n,3191,B1,
быстрота,n,3192,b1,
блог,n,3193,B1,
измерять,v,3194,B1,
отходы,n,3195,B1,
подданный,n,3196,B1,
зажигать,v,3197,B1,
иудей,n,3198,b1,
пословица,n,3199,b1,
стипендия,n,3200,B1,
боксер,n,3201,b1,
парта,n,3202,B1,
отопление,n,3203,b1,
радуга,n,3204,B1,
полезность,n,3205,B1,
вакансия,n,3206,B1,
взлетать,v,3207,B1,
сладко,adv,3208,b1,
одноклассник,n,3209,B1,
улучшать,v,3210,B1,
сокращать,v,3211,B1,
налогоплательщик,n,3212,B1,
четверка,n,3213,B1,
разрезать,v,3214,B1,
миска,n,3215,B1,
шишка,n,3216,B1,
вступительный,adj,3217,B1,
мэрия,n,3218,B1,
пожимать,v,3219,B1,
болельщик,n,3220,B1,
чулок,n,3221,B1,
оформлять,v,3222,B1,
двойка,n,3223,b1,
дк,n,3224,B1,
скатерть,n,3225,B1,
кондиционер,n,3226,B1,
клей,n,3227,B1,
указательный,adj,3228,B1,
самочувствие,n,3229,B1,
послушный,adj,3230,B1,
восход,n,3231,B1,
герб,n,3232,B1,
поговорка,n,3233,B1,
синяк,n,3234,B1,
позвоночник,n,3235,B1,
вражда,n,3236,b1,
вертеть,v,3237,B1,
жадность,n,3238,B1,
угощать,v,3239,B1,
дежурить,v,3240,B1,
сугроб,n,3241,B1,
прошлогодний,adj,3242,B1,
соус,n,3243,B1,
рифма,n,3244,B1,
шелк,n,3245,B1,
греть,v,3246,B1,
незнание,n,3247,B1,
рекламировать,v,3248,B1,
спасаться,v,3249,B1,
штора,n,3250,B1,
восклицать,v,3251,B1,
таксист,n,3252,B1,
ливень,n,3253,B1,
гороскоп,n,3254,B1,
наличные,n,3255,B1,
пригород,n,3256,B1,
ревновать,v,3257,B1,
записываться,v,3258,B1,
очищать,v,3259,B1,
синоним,n,3260,B1,
беспокойный,adj,3261,B1,
отменять,v,3262,B1,
арбуз,n,3263,B1,
воспаление,n,3264,b1,
видеокамера,n,3265,B1,
равно,adj,3266,b1,
технически,adv,3267,B1,
мечеть,n,3268,b1,
клоун,n,3269,B1,
тошнота,n,3270,B1,
шашлык,n,3271,B1,
чинить,v,3272,B1,
йога,n,3273,b1,
вдох,n,3274,B1,
лаять,v,3275,B1,
этикетка,n,3276,B1,
вдыхать,v,3277,B1,
понижение,n,3278,b1,
голодать,v,3279,b1,
избрание,n,3280,B1,
чей-то,pron,3281,B1,
восьмерка,n,3282,B1,
застраховать,v,3283,b1,
выбегать,v,3284,B1,
избирать,v,3285,B1,
вытягивать,v,3286,b1,
наименьший,adj,3287,b1,
пластик,n,3288,B1,
влюбляться,v,3289,B1,
свекровь,n,3290,b1,
рабочий день,mwe,3291,B1,
наклоняться,v,3292,B1,
клип,n,3293,B1,
буддизм,n,3294,b1,
взрываться,v,3295,B1,
экстренный,adj,3296,B1,
квитанция,n,3297,B1,
произношение,n,3298,b1,
тошнить,v,3299,B1,
цыпленок,n,3300,b1,
успокаиваться,v,3301,B1,
авиакомпания,n,3302,B1,
гардероб,n,3303,b1,
тренировать,v,3304,B1,
ножницы,n,3305,B1,
профилактический,adj,3306,B1,
котлета,n,3307,B1,
разговорный,adj,3308,B1,
смешивать,v,3309,B1,
расслабляться,v,3310,B1,
шестерка,n,3311,B1,
терпеливый,adj,3312,b1,
ремонтировать,v,3313,B1,
голодовка,n,3314,B1,
средства массовой информации,mwe,3315,B1,
сигнализация,n,3316,B1,
транзит,n,3317,B1,
надоедать,v,3318,B1,
тесть,n,3319,b1,
удовлетворительный,adj,3320,B1,
стирка,n,3321,b1,
продление,n,3322,B1,
разворачивать,v,3323,B1,
наушники,n,3324,B1,
невестка,n,3325,B1,
онлайн,adj,3326,B1,
практиковаться,v,3327,B1,
антибиотик,n,3328,B1,
гигиена,n,3329,B1,
выдох,n,3330,B1,
стричь,v,3331,B1,
парикмахер,n,3332,B1,
разбиваться,v,3333,B1,
семестр,n,3334,B1,
парковка,n,3335,b1,
гасить,v,3336,B1,
гостеприимство,n,3337,B1,
завязывать,v,3338,B1,
взрывать,v,3339,B1,
советоваться,v,3340,B1,
расставлять,v,3341,B1,
дружелюбный,adj,3342,B1,
стрижка,n,3343,B1,
иудаизм,n,3344,b1,
стюардесса,n,3345,B1,
бабки,n,3346,B1,
испортиться,v,3347,B1,
ухудшаться,v,3348,B1,
ударять,v,3349,B1,
дождливый,adj,3350,B1,
отключать,v,3351,B1,
неисправность,n,3352,B1,
нюхать,v,3353,B1,
угадывать,v,3354,B1,
дробь,n,3355,b1,
кровотечение,n,3356,B1,
гостеприимный,adj,3357,B1,
общительный,adj,3358,B1,
простуда,n,3359,B1,
семеро,num,3360,B1,
творог,n,3361,b1,
аплодировать,v,3362,B1,
мерзнуть,v,3363,B1,
мерить,v,3364,B1,
мочить,v,3365,B1,
пресный,adj,3366,B1,
каток,n,3367,B1,
семерка,n,3368,B1,
трудолюбивый,adj,3369,B1,
сушить,v,3370,B1,
взвешивать,v,3371,B1,
гольф,n,3372,b1,
загорать,v,3373,B1,
в прямом эфире,mwe,3374,B1,
чудесно,adv,3375,B1,
персик,n,3376,B1,
вращать,v,3377,B1,
девятка,n,3378,B1,
квас,n,3379,B1,
закуривать,v,3380,B1,
награждать,v,3381,B1,
черновик,n,3382,B1,
вратарь,n,3383,b1,
подготавливать,v,3384,B1,
потеть,v,3385,b1,
юзер,n,3386,b1,
программировать,v,3387,b1,
прикреплять,v,3388,B1,
передвигать,v,3389,B1,
бодрствовать,v,3390,B1,
автоответчик,n,3391,B1,
простудиться,v,3392,B1,
позапрошлый,adj,3393,b1,
заговаривать,v,3394,b1,
логин,n,3395,B1,
увольнять,v,3396,B1,
ясли,n,3397,B1,
осадки,n,3398,B1,
взрослеть,v,3399,B1,
страховать,v,3400,b1,
тюбик,n,3401,B1,
аллергический,adj,3402,B1,
клеить,v,3403,B1,
гомосексуальный,adj,3404,B1,
выздоравливать,v,3405,B1,
бюстгальтер,n,3406,B1,
продлевать,v,3407,B1,
боулинг,n,3408,B1,
консультировать,v,3409,B1,
выдыхать,v,3410,B1,
застежка,n,3411,B1,
смайлик,n,3412,B1,
прописывать,v,3413,B1,
аккаунт,n,3414,B1,
дорожать,v,3415,B1,
приправа,n,3416,B1,
консультироваться,v,3417,B1,
чипсы,n,3418,B1,
прачечная,n,3419,B1,
горчица,n,3420,b1,
экономный,adj,3421,B1,
проглатывать,v,3422,B1,
викторина,n,3423,B1,
развязывать,v,3424,B1,
починка,n,3425,B1,
скачивать,v,3426,B1,
развешивать,v,3427,B1,
безналичный,adj,3428,B1,
бензоколонка,n,3429,B1,
ракетка,n,3430,B1,
коллекционировать,v,3431,B1,
кипятить,v,3432,B1,
пиксел,N,3433,B1,
подвинуться,v,3434,B1,
сгибать,v,3435,B1,
абонемент,n,3436,B1,
вычеркивать,v,3437,B1,
сноуборд,n,3438,B1,
плательщик,n,3439,B1,
бронировать,v,3440,B1,
правописание,n,3441,B1,
веб,n,3442,B1,
расистский,adj,3443,B1,
извинять,v,3444,B1,
осязание,n,3445,B1,
детсад,n,3446,B1,
бронирование,n,3447,B1,
выпрямляться,v,3448,b1,
пенальти,n,3449,b1,
зубрить,v,3450,B1,
обменивать,v,3451,B1,
наставать,v,3452,B1,
мопед,n,3453,B1,
прибивать,v,3454,B1,
компакт-диск,n,3455,B1,
видеоклип,n,3456,B1,
отсутствующий,adj,3457,b1,
черешня,n,3458,B1,
вничью,adv,3459,b1,
испорченный,adj,3460,B1,
одалживать,v,3461,B1,
размешивать,v,3462,B1,
лесбийский,adj,3463,B1,
перекусывать,v,3464,B1,
дешеветь,v,3465,B1,
остужать,v,3466,b1,
блоггер,n,3467,B1,
чей-нибудь,pron,3468,B1,
разменивать,v,3469,B1,
аудирование,n,3470,b1,
притяжательный,adj,3471,B1,
флешка,n,3472,B1,
воспаляться,v,3473,B1,
автоинспектор,n,3474,B1,
скейтборд,n,3475,B1,
авторизоваться,v,3476,b1,
свекр,n,3477,b1,
удочерять,v,3478,B1,
телевикторина,n,3479,B1,
проживающий,adj,3480,b1,
коньки,n,3481,b1,
апартаменты,n,3482,B1,
автозаправочная станция,mwe,3483,B1,
арендная плата,mwe,3484,B1,
брать напрокат,mwe,3485,B1,
веб-кошелек,n,3486,B1,
веб-сайт,n,3487,B1,
веб-страница,n,3488,B1,
вести себя,mwe,3489,B1,
визитная карточка,mwe,3490,B1,
все время,mwe,3491,b1,
все равно,mwe,3492,B1,
выпуск новостей,mwe,3493,B1,
высокая температура,mwe,3494,B1,
высшее образование,mwe,3495,B1,
высшее учебное заведение,mwe,3496,B1,
выходные,n,3497,b1,
глава семьи,mwe,3498,B1,
горные лыжи,mwe,3499,b1,
грудной ребенок,mwe,3500,B1,
делать замечание,mwe,3501,B1,
детская площадка,mwe,3502,B1,
домашнее хозяйство,mwe,3503,B1,
домашний кинотеатр,mwe,3504,B1,
домашняя хозяйка,mwe,3505,B1,
доска объявлений,mwe,3506,B1,
е-мэйл,n,3507,B1,
ездить на велосипеде,mwe,3508,B1,
жевательная резинка,mwe,3509,B1,
забивать гол,mwe,3510,B1,
зарабатывать деньги,mwe,3511,B1,
